id,Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume,pct_change,changea,change
25,5/3/2013,451.31,453.23,449.15,449.98,12903600,0,1,58.8550859,59.10547203,58.5734015,58.68164134,90325200,0.021571823,2.157182308,3.157182308
26,5/6/2013,455.71,462.2,454.31,460.71,17737200,0,1,59.42888745,60.27524473,59.24631423,60.08093466,124160400,0.009749396,0.97493962,1.97493962
27,5/16/2013,423.24,437.85,418.9,434.578,21543000,0,1,55.56304418,57.48104832,54.99328798,57.05149941,150801000,-0.036251025,-3.625102468,-2.625102468
28,5/21/2013,438.15,445.48,434.2,439.66,16286500,0,1,57.52043239,58.48271647,57.00187549,57.71866554,114005500,0.014447454,1.444745433,2.444745433
29,5/24/2013,440.85,445.66,440.36,445.15,9863100,0,1,57.87488901,58.50634691,57.8105617,58.439394,69041700,0.011239821,1.123982108,2.123982108
30,5/29/2013,440,447.5,439.4,444.95,11806300,0,1,57.76330082,58.74790253,57.68453268,58.41313795,82644100,-0.02200489,-2.200488998,-1.200488998
31,5/31/2013,452.5,457.1,449.5,449.735,13725100,0,1,59.40430368,60.00819273,59.01046299,59.04131385,96075700,0.015370807,1.537080669,2.537080669
32,6/7/2013,436.5,443.24,432.77,441.811,14447700,0,1,57.30382001,58.18864876,56.81414476,58.00104931,101133900,-0.020136036,-2.01360361,-1.01360361
33,6/12/2013,439.5,441.25,431.5,432.19,9472400,0,1,57.6976607,57.9274011,56.64741887,56.73800223,66306800,0.008628999,0.862899894,1.862899894
34,6/19/2013,431.4,431.66,423,423,11105000,0,1,56.63429085,56.66842371,55.53153692,55.53153692,77735000,-0.000370748,-0.037074798,0.962925202
35,6/21/2013,418.49,420,408.1001,413.5,17182800,0,1,54.93946309,55.13769623,53.57547464,54.28437474,120279600,-0.001931791,-0.193179108,0.806820892
36,6/26/2013,403.9,404.79,395.66,398.07,13133000,0,1,53.02408454,53.14092395,51.94233546,52.25872081,91931000,-0.004436776,-0.443677594,0.556322406
37,7/1/2013,402.69,412.27,401.22,409.22,13966200,0,1,52.86523547,54.12290006,52.67225353,53.72249536,97763400,0.028950327,2.895032706,3.895032706
38,7/10/2013,419.6,424.8,418.25,420.73,10050200,0,1,55.08518414,55.76784133,54.90795583,55.2335308,70351400,0.01450677,1.450676983,2.450676983
39,7/16/2013,426.52,430.71,424.17,430.195,7733500,0,1,55.99364333,56.54370749,55.68513479,56.47609817,54134500,0.003552858,0.355285758,1.355285758
